Index,Image A,Image B,Output
1,555755,183551,B
2,419943,440191,A
3,497331,251346,B
4,32817,110536,A
5,224661,460665,B
6,115007,509880,B
7,332442,508098,A
8,505640,157836,A
9,555875,135994,B
10,424910,432530,B
11,541752,135878,B
12,467014,491664,A
13,218127,95484,A
14,177970,284885,A
15,157345,418595,A
16,527067,259802,A
17,49553,420425,A
18,132959,303516,A
19,532029,268742,A
20,215295,392962,A
21,6531,452099,A
22,119931,37314,B
23,320841,498349,A
24,494238,205976,A
25,249768,129169,B
26,454471,49627,B
27,198284,412681,B
28,465047,536878,A
29,511227,343145,A
30,366814,81780,B
31,406599,383053,B
32,417662,394368,A
33,48459,485614,A
34,564140,451769,B
35,437064,127190,A
36,415226,211317,A
37,214322,283975,A
38,320731,503172,B
39,289409,164877,A
40,356972,90785,A
41,24451,425354,B
42,348664,502585,A
43,560135,460060,B
44,515314,274106,B
45,423651,479933,A
46,475951,543232,A
47,395813,204735,A
48,421677,254316,A
49,260768,488328,B
50,558898,459298,B
51,258414,48583,A
52,524596,256921,A
53,416055,407932,B
54,352151,2416,A
55,290752,116500,A
56,523611,491848,B
57,199456,245773,A
58,32052,313342,A
59,330523,302862,A
60,478626,295388,A
61,91141,502236,A
62,106754,28726,A
63,117436,80396,A
64,439981,332040,A
65,87344,129767,A
66,18016,516661,B
67,520388,529397,A
68,14320,36114,B
69,481757,503582,A
70,306137,8820,A
71,211727,567213,A
72,257612,44676,B
73,52978,414885,A
74,213819,286326,A
75,131070,510063,B
76,211317,370635,B
77,518555,303926,B
78,500395,449486,A
79,110787,428353,A
80,553722,39310,B
81,10737,155491,A
82,129111,47403,A
83,343897,523188,B
84,90040,510028,B
85,113875,229564,A
86,477386,201597,B
87,328594,436057,B
88,506632,290496,A
89,538918,19153,B
90,477839,49252,A
91,257689,337790,B
92,51069,192821,B
93,526854,372575,A
94,63329,177168,A
95,402836,299580,B
96,29608,76382,B
97,291087,86677,B
98,86054,38987,A
99,68715,477691,A
100,288113,252484,B
101,389862,538222,A
102,120387,178594,A
103,445073,219767,A
104,452867,547010,B
105,503354,6364,A
106,129173,368635,B
107,347806,510513,A
108,8750,529239,B
109,216347,555124,A
110,565044,261280,A
111,228883,407298,B
112,460237,259493,B
113,398988,145450,B
114,234370,525564,A
115,87827,8153,A
116,36827,25102,A
117,288526,345408,B
118,275120,210960,A
119,256176,529307,A
120,336779,159918,B
121,84385,91906,A
122,20034,360994,B
123,442010,224013,A
124,351526,397164,B
125,489350,440598,A
126,382740,57641,A
127,234138,380372,B
128,201889,465632,B
129,509217,350134,A
130,96754,518361,B
131,561166,255692,B
