Index,Image A,Image B,Output
1,198641,126040,A
2,97494,146716,A
3,148936,182390,A
4,61789,85977,A
5,207911,58211,A
6,26681,194352,A
7,93194,43554,A
8,102514,1400,A
9,160680,85981,A
10,150867,187758,A
11,93892,95526,A
12,117425,137659,A
13,101314,44689,A
14,197212,201053,A
15,96112,52422,A
16,95567,109797,A
17,191006,1831,A
18,66713,15487,A
19,37614,207936,B
20,117876,62712,B
21,84660,45508,A
22,122181,111911,A
23,83860,132203,A
24,137525,142466,A
25,38898,124266,A
26,6846,19861,A
27,105878,24752,A
28,50721,105530,A
29,3882,193682,A
30,187224,196628,A
31,182911,188549,B
32,94401,63966,A
33,83822,112021,A
34,177033,142100,A
35,141013,43222,A
36,130828,72366,A
37,165331,28117,B
38,74074,81096,A
39,110751,79056,A
40,96455,55618,A
41,121404,200983,A
42,33584,126326,A
43,8693,181019,A
44,198822,35633,A
45,61917,104471,A
46,185325,7795,A
47,92497,176511,A
48,116341,48090,A
49,176891,112370,A
50,16064,68650,A
51,92034,102045,A
52,134440,133435,B
53,156110,161428,A
54,148800,110578,A
55,158403,43769,A
56,16654,177398,A
57,42197,62767,A
58,198327,21768,A
59,25899,168193,A
60,176707,209388,A
61,57480,117091,A
62,135862,168071,A
63,80392,61920,A
64,159600,77804,A
65,141909,78250,B
66,67266,76191,A
67,112762,137720,A
68,187672,166081,A
69,112306,76933,A
70,125256,85159,A
71,22936,207064,A
72,134070,147520,A
73,94004,79675,A
74,110648,135952,A
75,3773,26694,A
76,48195,47833,B
77,29942,156273,A
78,179758,72548,A
79,113512,192510,A
80,140255,207096,A
81,68873,117501,A
82,114986,17993,A
83,111701,98552,A
84,190520,121739,A
85,174927,138657,A
86,118062,32569,A
87,138327,150597,A
88,80771,36552,A
89,101023,189556,A
90,152640,171941,B
91,204440,12949,A
92,125050,136075,A
93,143879,129662,A
94,36546,95577,A
95,202095,69688,A
96,153017,183823,A
97,169805,25614,A
98,185472,43379,A
99,65081,125395,A
100,174205,70997,A
101,201558,24679,A
102,156569,99608,A
103,17566,152925,A
104,85896,125685,A
105,25217,79631,A
106,33380,7074,A
107,5783,161810,A
108,200886,63935,A
109,178601,110510,A
110,148526,11544,A
111,157014,164042,A
112,75864,188222,B
113,133643,28664,A
114,116695,99834,B
115,14855,149594,A
116,57009,27306,A
117,208730,118865,A
118,53079,206803,A
119,194087,199013,A
120,83603,67341,A
121,100375,75434,B
122,179770,122312,A
123,42405,192863,A
124,21818,189725,A
125,7626,62377,A
126,199247,146176,A
127,179398,174339,B
128,121090,179012,A
129,20066,33496,A
130,109656,14097,A
131,140177,11393,A
132,112692,141555,A
133,194372,105886,A
134,206510,58699,B
135,82344,4040,A
136,3264,131310,A
137,84099,3387,A
138,187661,45565,A
139,154280,157684,A
140,39334,208260,B
141,116955,153552,A
142,120309,87171,A
143,129759,35933,A
144,185486,28386,A
145,204657,157672,A
146,93202,192454,A
147,41818,189538,A
148,125958,33723,A
149,134413,84036,A
150,96716,72673,B
151,69710,157863,A
152,13529,2188,A
153,123699,11209,A
154,98132,144442,B
155,111967,100492,A
156,58229,6068,A
157,753,25150,A
158,43988,138757,A
159,199519,69783,A
160,107676,208310,A
161,164515,71007,A
162,69666,22920,A
163,133739,73948,A
164,5743,62620,A
165,43362,63994,A
166,134452,37750,A
167,166593,37985,A
168,79600,82663,A
169,79096,205299,A
170,7601,156354,A
171,158653,31409,B
172,94547,162200,A
173,123519,7206,A
174,203106,91078,A
175,17446,34548,A
176,83339,106642,A
177,20664,109379,B
178,76085,4154,A
179,93561,31541,A
180,149362,197127,B
181,73425,52561,A
182,67374,78166,A
183,10964,203191,A
184,1892,82782,A
185,144712,112849,A
186,55161,106374,A
187,2718,16843,A
188,37368,198908,A
189,5439,148992,A
190,175433,61948,A
191,189392,197424,A
192,117754,82244,A
193,56718,147389,A
194,48112,135330,B
195,4051,149236,A
196,88538,103733,A
197,165147,201579,A
198,174252,101336,A
199,173875,126748,A
200,158538,66061,A
201,153366,119211,A
202,92183,122154,A
203,86164,104113,A
204,184345,94404,A
205,50785,97079,A
